id,industry_name,unit_code,unit_name,level,job_type,group_name,unit_summary,category,criterion_type,criterion_text
1,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力",①入場前準備,●,●職長の指示により現場乗込に必要な道具・材料等の準備を行い結果を報告している
2,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力",①入場前準備,●,●送り出し教育にて安全活動の目的、方法を学んでいる
3,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力",①入場前準備,○,"○現場で新しい施工方法等に取り組む場合には、上司から指示されたとおりメモなどを
   取り覚えるようにしている"
4,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",●,●作業に必要な基本的な用語や名称（材料や道具の名前）用途を理解している
5,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",●,●職長から指示された仕事に関する注意事項や作業手順の習得に努めている
6,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",●,●作業全体の流れを理解しながら与えられた自分の作業の役割を確認している
7,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",○,○グループ内の週間･毎日の工程打合せに出席し、作業進捗目標を理解している
8,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",○,○作業の流れを理解して、受け持ち作業を実行するため、作業段取りを順次考えている
9,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","②作業手順等
   の確認",○,"○作業について指示されたことや計画上のわからない点を職長に質問し、疑問点を残さ
   ないようにしている"
10,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","③現場状況の
   確認",○,"○資材置き場や揚重機の場所等を確認し、職長の指示があれば、すぐに作業着手でき
   るようにしている"
11,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","③現場状況の
   確認",●,●使用可能な足場等の仮設の点検を行い、使用上の作業所ルールを確認している
12,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","③現場状況の
   確認",●,●職長から指示されたとおり、近隣状況等の周辺環境を確認している
13,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","③現場状況の
   確認",○,"○作業場の片付け状況や水溜りなどの作業環境上の障害を確認し、不具合があれば
   職長に報告し、指示に基づいて改善している"
14,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","③現場状況の
   確認",●,"●作業にあたり開口部などの危険箇所の確認をして、不安全行動などを取らないように
   心掛けている"
15,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","④器具・工具等
   の確認",●,"●毎日の作業前に不具合のある器具・工具類を使用しないように個人使用の自分の
   工具の点検を行っている"
16,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","④器具・工具等
   の確認",○,"○職長の指示に従って、点検リストに基づいた器具・工具類の保管状況を確認し報告
   している"
17,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","④器具・工具等
   の確認",○,"○職長の指示に従って、作業に必要となる器具・工具類の数量を確認し、作業場に
   小運搬している"
18,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","⑤作業前の
   準備",○,"○基本墨(通り･レベル）に基づき、敷桟に必要な子墨出し・逃げ墨出しを先輩とともに
   行っている"
19,型枠工事業,06C022L11,段取り,L1,施工技能,06_00_共通能力ユニット,"職長から指示された仕事を作業手順に基づいて
（他の作業者と一緒に）実施する能力","⑤作業前の
   準備",●,"●狂いのない作業を行うため、敷桟作業に必要な精度確保のための糸を、先輩の指導
   に従い張っている"
20,型枠工事業,06C023L22,段取り,L2,施工技能,06_00_共通能力ユニット,打合せで分担した仕事を作業手順に基づいて正確に実施する能力。「サブ」は職長の補佐として率先して現場の段取りを行い作業を推進していく能力,"①入場前
   準備",○,○現場乗込み時に必要な道具・材料等の準備を行い、結果を確認している
21,型枠工事業,06C023L22,段取り,L2,施工技能,06_00_共通能力ユニット,打合せで分担した仕事を作業手順に基づいて正確に実施する能力。「サブ」は職長の補佐として率先して現場の段取りを行い作業を推進していく能力,"①入場前
   準備",■,■置き場でのパネル作成のための加工場の段取り、材料の手配を確認している
22,型枠工事業,06C023L22,段取り,L2,施工技能,06_00_共通能力ユニット,打合せで分担した仕事を作業手順に基づいて正確に実施する能力。「サブ」は職長の補佐として率先して現場の段取りを行い作業を推進していく能力,"①入場前
   準備",■,"■工程に支障のないように現在の現場作業を調整した上で、職長から指示された新現場への乗込み日を確認
   し、乗込み時に必要な道具の準備・点検等を他の作業者と一緒に行い結果を報告している"
23,型枠工事業,06C023L22,段取り,L2,施工技能,06_00_共通能力ユニット,打合せで分担した仕事を作業手順に基づいて正確に実施する能力。「サブ」は職長の補佐として率先して現場の段取りを行い作業を推進していく能力,"①入場前
   準備",○,○新しい施工方法等に取組む場合には、職長の指示で勉強会・講習会等に参加している
24,型枠工事業,06C023L22,段取り,L2,施工技能,06_00_共通能力ユニット,打合せで分担した仕事を作業手順に基づいて正確に実施する能力。「サブ」は職長の補佐として率先して現場の段取りを行い作業を推進していく能力,"②作業手順
   等の確認",○,"○施工計画の注意事項や作業手順等について十分に理解しながら、手戻り・手直し等が発生しないよう確認し
   ている"
